         Modell Rückenlehne  Dichtefaktor Rückenlehnenteil  CNCAP_NIC_min  CNCAP_NIC_max  CNCAP_Scheerkraft_max  CNCAP_Scheerkraft_min  CNCAP_Druckkraft_max  CNCAP_Druckkraft_min  CNCAP_Biegemoment_UN_OC_max  CNCAP_Biegemoment_UN_OC_min  CNCAP_Biegemoment_LN_max  CNCAP_Biegemoment_LN_min  Bewertung_CNCAP_gesamt  Bewertung_CNCAP_LN  Bewertung_CNCAP_UN  Bewertung_CNCAP_NIC  BIO_x_1_max  BIO_x_t1_max  BIO_x_1_max  BIO_x_t1_max  BIO_x_t8_max  BIO_x_l1_max  BIO_xi_1_max  BIO_xi_t1_max  BIO_xi_t8_max  BIO_xi_l1_max  BIO_xii_1_max  BIO_xii_t1_max  BIO_xii_t8_max  BIO_xii_l1_max  BIO_xiii_1_max  BIO_xiii_t1_max  BIO_xiii_t8_max  BIO_xiii_l1_max  BIO_x_rel_max  BIO_xi_rel_max  BIO_xii_rel_max  BIO_xiii_rel_max  BIO_xiii_rel_summe  BIO_Scheerkraft_max  BIO_Scheerkraft_min  BIO_Scheerkraft_res_max  BIO_Scheerkraft_res_min  BIO_phi_z_1_max  BIO_phi_z_t1_max  BIO_dphi_res_1_t1_max  BIO_dphi_res_1_t1_min  BIO_dphi_res_t1_t8_max  BIO_dphi_res_t1_t8_min  BIO_dphi_res_t8_l1_max  BIO_dphi_res_t8_l1_min  BIO_dphi_z_1_t1_max  BIO_dphi_z_1_t1_min  BIO_dphi_z_t1_t8_max  BIO_dphi_z_t1_t8_min  BIO_dphi_z_t8_l1_max  BIO_dphi_z_t8_l1_min  BIO_Kopfkontaktkraft_x_max  BIO_Kopfkontaktkraft_x_min  BIO_Kopf_v_x_max  Bio_Kopf_v_x_min  BIO_Kopf_v_res_max  Bio_Kopf_v_res_min  BIO_s_res_1_max  BIO_s_res_t1_max  BIO_phi_y_1_max  BIO_phi_y_t1_max  BIO_xii_1_avg  BIO_xii_t1_avg  BIO_xii_t8_avg  BIO_xii_l1_avg  BIO_xiii_1_avg  BIO_xiii_t1_avg  BIO_xiii_t8_avg  BIO_xiii_l1_avg  BIO_xiii_1_summe  BIO_xiii_t1_summe  BIO_xiii_rel_summe  BIO_Federrate_avg  Energie_Kopf_max  Energie_Kopf_min  Energie_Oberkörper_max  Energie_Oberkörper_min  Energie_Gesamt_max  Energie_Gesamt_min  Energie_Gesamt_Summe        Wirkung  T_Kopfkontakt    t_start      t_ende
1     VW313_2CM       KEB47           0.5          WL_SP04     -28.401392      12.650032               0.082302              -0.430881              0.534115              0.097810                   -13.736921                    -0.004886                  3.703589              9.456354e-04                    4.34                 1.5                1.26                 1.58  -995.755188   -940.045075  -995.755188   -940.045075   -925.076599   -919.832825      8.783057       7.733550       6.834207       5.577359       0.256556        0.202955        0.213071        0.203385       -0.012896         0.016017        -0.017712         0.020345     -56.335320        1.673823        -0.145464         -0.023139           13.081382             0.037646            -0.031535                 0.090073                -0.062708         0.049706          0.048827               6.141088               0.000046               10.794069                0.000047               14.385506                0.000022             0.513484        -3.327682e-09              0.522893         -1.394516e-08             -1.302064         -4.385396e-08                       0.001                      -1.111          8.783057          0.000015            8.793396            0.000031       997.123648        940.993373         0.314263          0.380471       0.044248        0.042445        0.036302        0.033773       -0.000075    -1.449333e-05    -2.140940e-06    -2.045648e-05         10.902986          10.993524           13.081382          -4.888476        176.655395      5.010426e-10             2727.080879            1.108069e-09         2897.365246        1.609111e-09          7.017053e+06  350784.424269      80.899891  50.122250  131.022141
2     VW313_2CM       KEB47           0.5          WL_SP06     -30.841725      10.842687               0.072230              -0.386388              0.505925              0.094453                   -15.553435                    -0.000306                  4.178171             -1.062868e-03                    4.55                 1.5                1.31                 1.74 -1065.155270   -977.196899 -1065.155270   -977.196899   -941.604614   -929.292725      9.256965       8.073318       7.113964       5.747386       0.213199        0.202468        0.215822        0.185184       -0.015488        -0.020657         0.015668         0.019412     -47.858132        1.514445        -0.156223         -0.027685           12.873922             0.031574            -0.053004                 0.122333                -0.047093        -0.079019         -0.075565               7.410118               0.000034               11.210984                0.000028               11.753704                0.000011            -0.607556         3.813556e-07             -1.461406          2.044749e-06              2.732849         -2.496698e-07                       0.001                      -1.045          9.256965          0.000013            9.262970            0.000032      1068.373058        979.252436        -0.418301         -0.289046       0.048119        0.044609        0.036502        0.030803       -0.000105    -2.645637e-05     1.932957e-05    -1.075946e-05          9.921783          12.755061           12.873922          -4.638469        196.233295      4.100838e-10             3034.718066            6.924110e-09         3216.170162        7.334194e-09          7.626477e+06  381252.220019      77.200001  50.022251  127.222252
3     VW313_2CM       KEB47           0.6          WL_SP04     -28.472457      12.507460               0.082186              -0.431848              0.531205              0.097810                   -14.097602                    -0.004886                  3.703641              2.368051e-06                    4.37                 1.5                1.28                 1.59  -995.127197   -939.823120  -995.127197   -939.823120   -925.031555   -919.853638      8.780103       7.735511       6.833947       5.575628       0.256224        0.202981        0.212528        0.203350       -0.013143         0.016026        -0.017672         0.020302     -56.598617        1.687897        -0.145741         -0.023083           13.077155             0.037223            -0.031503                 0.091817                -0.067097         0.049705          0.048875               6.352786               0.000046               10.803485                0.000047               14.387388                0.000022             0.521189         1.409032e-08              0.523769          4.186282e-08             -1.298975         -4.385402e-08                       0.001                      -1.097          8.780103          0.000015            8.791642            0.000031       996.494434        940.769442         0.316962          0.380847       0.044203        0.042481        0.036354        0.033752       -0.000075    -1.224728e-05    -3.731372e-06    -3.307209e-05         10.868391          11.006256           13.077155          -4.888494        176.536567      5.009790e-10             2728.279768            1.108776e-09         2898.243974        1.609755e-09          7.014116e+06  350637.468752      81.299808  50.122250  131.422058
4     VW313_2CM       KEB47           0.6          WL_SP06     -30.784549      11.021418               0.070747              -0.388372              0.504867              0.094453                   -15.494231                    -0.003749                  4.106513             -5.850635e-04                    4.54                 1.5                1.31                 1.73 -1064.803590   -976.980346 -1064.803590   -976.980346   -941.526550   -929.299133      9.258123       8.068627       7.111281       5.743992       0.212693        0.202387        0.215854        0.185141       -0.015528        -0.020730        -0.015824         0.019387     -48.115364        1.525897        -0.156037         -0.027554           12.753347             0.033215            -0.053247                 0.123214                -0.046756        -0.078860         -0.075409               7.423962               0.000034               11.240354                0.000027               11.769833                0.000011            -0.611057         7.999939e-07             -1.457535         -1.021796e-06              2.687377         -2.544582e-07                       0.002                      -1.042          9.258123          0.000013            9.263650            0.000032      1067.966632        979.004497        -0.417669         -0.288170       0.048126        0.044590        0.036493        0.030818       -0.000106    -2.562401e-05     1.457565e-05    -9.216472e-06          9.941568          12.649872           12.753347          -4.635277        196.282424      4.099707e-10             3032.330813            6.922380e-09         3213.832131        7.332351e-09          7.623330e+06  381094.911457      77.300003  50.072250  127.372253
5     VW313_2CM       KEB47           0.7          WL_SP04     -28.336439      12.361350               0.082004              -0.426856              0.532931              0.097810                   -14.066901                    -0.004886                  3.605852              3.038920e-04                    4.37                 1.5                1.27                 1.60  -995.658813   -939.985351  -995.658813   -939.985351   -925.123779   -919.943115      8.791466       7.738409       6.834858       5.578401       0.255532        0.200829        0.211622        0.203467       -0.013164         0.015896        -0.017450         0.020295     -56.889176        1.699160        -0.145185         -0.022455           12.952194             0.035456            -0.031060                 0.086043                -0.067621         0.050604          0.049908               6.387428               0.000046               10.841252                0.000047               14.403490                0.000022             0.520740         1.408001e-08              0.546356          4.200695e-08             -1.278210         -5.005348e-08                       0.002                      -1.095          8.791466          0.000015            8.803699            0.000031       997.006697        940.917691         0.316694          0.381580       0.044264        0.042485        0.036362        0.033743       -0.000076    -1.299821e-05    -2.192680e-06    -2.751732e-05         10.842878          10.920480           12.952194          -4.879258        176.993803      5.010144e-10             2728.022496            1.109498e-09         2898.575491        1.610513e-09          7.014723e+06  350667.491654      81.449699  50.172249  131.621948
6     VW313_2CM       KEB47           0.7          WL_SP06     -30.801893      11.470509               0.071277              -0.391779              0.512026              0.094453                   -15.257260                    -0.001663                  4.210416             -1.928244e-04                    4.51                 1.5                1.33                 1.68 -1064.097780   -976.402496 -1064.097780   -976.402496   -941.216980   -929.210205      9.257471       8.057887       7.104130       5.735411       0.213236        0.202329        0.215929        0.185057       -0.015346        -0.020915        -0.015859         0.019334     -48.459419        1.543392        -0.156114         -0.027825           12.902692             0.033119            -0.053542                 0.115579                -0.046668        -0.079007         -0.075648               7.508025               0.000034               11.272348                0.000027               11.776337                0.000011            -0.608824         7.999939e-07             -1.464853         -1.021796e-06              2.656929         -2.544582e-07                       0.003                      -1.042          9.257471          0.000013            9.262565            0.000032      1067.229994        978.411323        -0.417610          0.287468       0.048146        0.044495        0.036408        0.030774       -0.000106    -2.691227e-05     1.253466e-05    -7.536949e-06         10.046108          12.664218           12.902692          -4.617740        196.254765      4.100705e-10             3026.631528            6.920507e-09         3208.281469        7.330577e-09          7.614772e+06  380667.020096      77.399997  50.122250  127.522247
7     VW313_2CM       KEB47           0.8          WL_SP04     -28.242818      12.654747               0.081497              -0.426606              0.532606              0.097810                   -14.099003                    -0.004886                  3.477835              8.500321e-04                    4.35                 1.5                1.27                 1.58  -993.960266   -939.337677  -993.960266   -939.337677   -924.940491   -919.948914      8.776030       7.736402       6.830223       5.577496       0.255019        0.201674        0.210884        0.203446       -0.013247         0.016175        -0.017262         0.020327     -57.158531        1.713581        -0.144717         -0.022570           12.984050             0.036286            -0.030247                 0.082635                -0.069902         0.050804          0.050051               6.562030               0.000046               10.842216                0.000047               14.401899                0.000022             0.533399         1.407650e-08              0.541636          1.636382e-08             -1.305335         -6.126855e-08                       0.000                      -1.089          8.776030          0.000015            8.790106            0.000031       995.336959        940.279496         0.316980          0.381814       0.044147        0.042499        0.036398        0.033729       -0.000075    -1.292276e-05    -1.009106e-05    -3.319814e-05         10.809468          10.987141           12.984050          -4.866733        176.372812      5.008566e-10             2724.960786            1.112356e-09         2895.270510        1.613213e-09          7.007323e+06  350297.361115      81.799583  50.222252  132.021835
8     VW313_2CM       KEB47           0.8          WL_SP06     -30.739073      11.907623               0.070730              -0.395397              0.512913              0.094453                   -15.022618                    -0.003952                  4.177221             -1.781843e-05                    4.48                 1.5                1.34                 1.64 -1066.124760   -977.559845 -1066.124760   -977.559845   -941.802124   -929.461731      9.279645       8.067069       7.109922       5.744594       0.212757        0.201852        0.216475        0.184756       -0.015061        -0.020863        -0.016087         0.019324     -48.534867        1.542631        -0.155750         -0.027675           13.019944             0.032312            -0.053042                 0.113860                -0.046911        -0.078841         -0.075535               7.557028               0.000034               11.308565                0.000027               11.793888                0.000011            -0.615406         7.999931e-07             -1.461299         -1.022500e-06              2.736078         -2.544468e-07                       0.002                      -1.036          9.279645          0.000013            9.285382            0.000032      1069.344154        979.612786        -0.422655         -0.290839       0.048302        0.044548        0.036392        0.030809       -0.000107    -2.689315e-05     1.853614e-05    -1.082503e-05         10.016842          12.594878           13.019944          -4.598346        197.196047      4.100966e-10             3034.243600            6.928117e-09         3217.258918        7.338213e-09          7.630705e+06  381462.773648      77.649757  50.172249  127.822006
9     VW313_2CM       KEB47           0.9          WL_SP04     -28.218137      13.002315               0.081552              -0.424482              0.530172              0.097810                   -14.145369                     0.001450                  3.502266             -1.045320e-03                    4.32                 1.5                1.27                 1.55  -994.417114   -939.547760  -994.417114   -939.547760   -925.026367   -919.973145      8.783601       7.745257       6.833293       5.579003       0.254375        0.200789        0.209632        0.203238       -0.013244         0.016163        -0.017346         0.020295     -57.352729        1.723069        -0.144610         -0.022197           12.999609             0.036449            -0.030460                 0.087917                -0.068683         0.050505          0.049879               6.648853               0.000046               10.870812                0.000047               14.403965                0.000022             0.537927         1.407449e-08              0.538953          1.641026e-08             -1.306963         -6.131416e-08                       0.001                      -1.084          8.783601          0.000015            8.798049            0.000031       995.787714        940.487717         0.317472          0.382186       0.044188        0.042531        0.036421        0.033708       -0.000075    -1.157868e-05    -6.223690e-06    -1.935249e-05         10.770385          10.952978           12.999609          -4.866923        176.677263      5.007894e-10             2726.047265            1.110390e-09         2897.262075        1.611179e-09          7.009810e+06  350422.499708      82.099983  50.222252  132.322235
10    VW313_2CM       KEB47           0.9          WL_SP06     -30.532848      12.288098               0.070341              -0.395403              0.513607              0.094453                   -14.786584                    -0.001095                  4.148477              1.466446e-04                    4.46                 1.5                1.35                 1.61 -1062.775390   -975.585602 -1062.775390   -975.585602   -940.810547   -929.101685      9.257704       8.039693       7.097202       5.721663       0.212351        0.201912        0.216344        0.184249        0.015203        -0.021050        -0.015721         0.019165     -48.983917        1.560919        -0.154987         -0.027614           13.076951             0.032424            -0.052557                 0.109278                -0.046784        -0.078575         -0.075339               7.550885               0.000034               11.325447                0.000027               11.793671                0.000011            -0.609875         7.999976e-07             -1.458496         -1.021796e-06              2.583705         -2.544578e-07                       0.002                      -1.027          9.257704          0.000013            9.261810            0.000032      1065.805579        977.531784        -0.415492          0.288744       0.048165        0.044323        0.036362        0.030755       -0.000106    -2.643515e-05     1.072328e-05    -2.549161e-06         10.245537          12.635633           13.076951          -4.574755        196.264632      4.101070e-10             3015.877176            6.927157e-09         3197.834676        7.337264e-09          7.601228e+06  379989.724309      77.950004  50.222252  128.172256
